Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
131030	Date G24 first reported (dystonia)			p131030_Date_G24_first_reported_dystonia		NA				
131032	Date G25 first reported (other extrapyramidal and movement disorders)			p131032_Date_G25_first_reported_other_extrapyramidal_and_movement_disorders		NA				
131034	Date G26 first reported (extrapyramidal and movement disorders in diseases classified elsewhere)					NA				
131036	Date G30 first reported (alzheimers disease)			p131036_Date_G30_first_reported_alzheimers_disease	NA	NA				
131038	Date G31 first reported (other degenerative diseases of nervous system	not elsewhere classified)		p131038_Date_G31_first_reported_other_degenerative_diseases_of_nervous_system._not_elsewhere_classified	NA	NA				
131040	Date G32 first reported (other degenerative disorders of nervous system in diseases classified elsewhere)			p131040_Date_G32_first_reported_other_degenerative_disorders_of_nervous_system_in_diseases_classified_elsewhere	NA	NA				
131060	Date G47 first reported (sleep disorders)			p131060_Date_G47_first_reported_sleep_disorders	NA	NA				
131120	Date G96 first reported (other disorders of central nervous system)			p131120_Date_G96_first_reported_other_disorders_of_central_nervous_system	NA	NA				
131124	Date G98 first reported (other disorders of nervous system	not elsewhere classified)		p131124_Date_G98_first_reported_other_disorders_of_nervous_system._not_elsewhere_classified	NA	NA				
NA				p130762_Date_E46_first_reported_unspecified_proteinenergy_malnutrition	NA	NA				
NA				p130920_Date_F51_first_reported_nonorganic_sleep_disorders	NA	NA				
NA				p131056_Date_G45_first_reported_transient_cerebral_ischaemic_attacks_and_related_syndromes	NA	NA				
NA				p131360_Date_I60_first_reported_subarachnoid_haemorrhage	NA	NA				
NA				p131366_Date_I63_first_reported_cerebral_infarction	NA	NA				
NA				p131518_Date_J69_first_reported_pneumonitis_due_to_solids_and_liquids	NA	NA				
NA				p131964_Date_M81_first_reported_osteoporosis_without_pathological_fracture	NA	NA				
NA				p42030_Date_of_all_cause_parkinsonism_report	NA	NA				
NA				p42032_Date_of_parkinsons_disease_report	NA	NA				
NA				p3005_Date_first_reported_Fracture_resulting_from_simple_fall_._Instance_0	NA	NA				
NA				p3005_Date_first_reported_Fracture_resulting_from_simple_fall_._Instance_1	NA	NA				
NA				p3005_Date_first_reported_Fracture_resulting_from_simple_fall_._Instance_2	NA	NA				
NA				p3005_Date_first_reported_Fracture_resulting_from_simple_fall	NA	NA				
20002				fracture_jaw	NA	NA			1698	Interpolated Age of participant when non-cancer illness first diagnosed
20002				fracture_clavicle_or_collar_bone	NA	NA			1703	Interpolated Age of participant when non-cancer illness first diagnosed
20002				fracture_shoulder_or_scapula	NA	NA			1704	Interpolated Age of participant when non-cancer illness first diagnosed
20002				chronic_or_degenerative_neurological_problem	NA	NA			1284	Interpolated Age of participant when non-cancer illness first diagnosed
20002				depression	NA	NA			1312	Interpolated Age of participant when non-cancer illness first diagnosed
20002				anxiety_or_panic_attacks	NA	NA			1313	Interpolated Age of participant when non-cancer illness first diagnosed
20002				stroke	NA	NA			1098	Interpolated Age of participant when non-cancer illness first diagnosed
20002				brain_haemorrhage	NA	NA			1554	Interpolated Age of participant when non-cancer illness first diagnosed
20002				multiple_sclerosis	NA	NA			1287	Interpolated Age of participant when non-cancer illness first diagnosed
20002				other_neurological_problem	NA	NA			1489	Interpolated Age of participant when non-cancer illness first diagnosed
20002				osteoporosis	NA	NA			1348	Interpolated Age of participant when non-cancer illness first diagnosed
28735				Feeling_anxious._nervous_or_on_edge_over_the_last_2_weeks	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28738				Feeling_down._depressed_or_hopeless_over_the_last_2_weeks	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28739				Difficulty_with_standing_for_long_periods	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28740				Difficulty_with_taking_care_of_household_responsibilities	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28741				Difficulty_learning_a_new_task	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28744				Difficulty_with_concentrating_on_doing_something_for_ten_minutes	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28745				Difficulty_with_walking_a_long_distance	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28746				Difficulty_with_washing_whole_body	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
28751				Difficulty_with_doing_your_day.to.day_work	NA	NA				p28755_When_Health_and_Well-being_Questionnaire_completed
29150				Mobility_problems_today	NA	NA				p29206_When_online_General_health_questionnaire_completed
29152				Problems_doing_usual_activities	NA	NA				p29206_When_online_General_health_questionnaire_completed
40001				Date_Death_caused_by_Malignant_neoplasm_Cardia	NA	NA				p40000_i0_Date_of_death_._Instance_0
40001				Date_Death_caused_by_Malignant_neoplasm_Caecum	NA	NA				p40000_i0_Date_of_death_._Instance_1
40001				Date_Death_caused_by_Malignant_neoplasm_Colon_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_2
40001				Date_Death_caused_by_Malignant_neoplasm_of_rectosigmoid_junction	NA	NA				p40000_i0_Date_of_death_._Instance_3
40001				Date_Death_caused_by_Malignant_neoplasm_Pancreas_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_4
40001				Date_Death_caused_by_Malignant_neoplasm_Intestinal_tractpart_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_5
40001				Date_Death_caused_by_Malignant_neoplasm_Ill.defined_sites_within_the_digestive_system	NA	NA				p40000_i0_Date_of_death_._Instance_6
40001				Date_Death_caused_by_Malignant_neoplasm_Bronchus_or_lung_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_7
40001				Date_Death_caused_by_Malignant_neoplasm_Malignant_melanoma_of_skin_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_8
40001				Date_Death_caused_by_Malignant_neoplasm_Malignant_neoplasm_of_skin_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_9
40001				Date_Death_caused_by_Malignant_neoplasm_of_ovary	NA	NA				p40000_i0_Date_of_death_._Instance_10
40001				Date_Death_caused_by_Malignant_neoplasm_of_prostate	NA	NA				p40000_i0_Date_of_death_._Instance_11
40001				Date_Death_caused_by_Malignant_neoplasm_of_ureter	NA	NA				p40000_i0_Date_of_death_._Instance_12
40001				Date_Death_caused_by_Malignant_neoplasm_Bladder_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_13
40001				Date_Death_caused_by_Malignant_neoplasm_Brain_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_14
40001				Date_Death_caused_by_Malignant_neoplasmprimary_site_unknownso_stated	NA	NA				p40000_i0_Date_of_death_._Instance_15
40001				Date_Death_caused_by_Malignant_neoplasmprimary_site_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_16
40001				Date_Death_caused_by_Malignant_neoplasm_without_specification_of_site	NA	NA				p40000_i0_Date_of_death_._Instance_17
40001				Date_Death_caused_by_Malignant_neoplasms_of_independent_primary_multiple_sites	NA	NA				p40000_i0_Date_of_death_._Instance_18
40001				Date_Death_caused_by_Haemangioma_any_site	NA	NA				p40000_i0_Date_of_death_._Instance_19
40001				Date_Death_caused_by_Benign_neoplasm_Meninges_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_20
40001				Date_Death_caused_by_Volume_depletion	NA	NA				p40000_i0_Date_of_death_._Instance_21
40001				Date_Death_caused_by_Vascular_dementia_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_22
40001				Date_Death_caused_by_Unspecified_dementia	NA	NA				p40000_i0_Date_of_death_._Instance_23
40001				Date_Death_caused_by_Huntington_disease	NA	NA				p40000_i0_Date_of_death_._Instance_24
40001				Date_Death_caused_by_Motor_neuron_disease	NA	NA				p40000_i0_Date_of_death_._Instance_25
40001				Date_Death_caused_by_Parkinson_disease	NA	NA				p40000_i0_Date_of_death_._Instance_26
40001				Date_Death_caused_by_Alzheimer_disease_with_late_onset	NA	NA				p40000_i0_Date_of_death_._Instance_27
40001				Date_Death_caused_by_Alzheimer_disease_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_28
40001				Date_Death_caused_by_Other_specified_degenerative_diseases_of_nervous_system	NA	NA				p40000_i0_Date_of_death_._Instance_29
40001				Date_Death_caused_by_Acute_myocardial_infarctionunspecified	NA	NA				p40000_i0_Date_of_death_._Instance_30
40001				Date_Death_caused_by_Chronic_ischaemic_heart_disease_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_31
40001				Date_Death_caused_by_Pulmonary_embolism_without_mention_of_acute_cor_pulmonale	NA	NA				p40000_i0_Date_of_death_._Instance_32
40001				Date_Death_caused_by_Heart_failure_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_33
40001				Date_Death_caused_by_Cardiomegaly	NA	NA				p40000_i0_Date_of_death_._Instance_34
40001				Date_Death_caused_by_Subarachnoid_haemorrhage_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_35
40001				Date_Death_caused_by_Strokenot_specified_as_haemorrhage_or_infarction	NA	NA				p40000_i0_Date_of_death_._Instance_36
40001				Date_Death_caused_by_Cerebrovascular_disease_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_37
40001				Date_Death_caused_by_Peripheral_vascular_disease_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_38
40001				Date_Death_caused_by_Bronchopneumonia_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_39
40001				Date_Death_caused_by_Pneumonia_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_40
40001				Date_Death_caused_by_Chronic_obstructive_pulmonary_disease_with_acute_lower_respiratory_infection	NA	NA				p40000_i0_Date_of_death_._Instance_41
40001				Date_Death_caused_by_Bronchiectasis	NA	NA				p40000_i0_Date_of_death_._Instance_42
40001				Date_Death_caused_by_Other_and_unspecified_intestinal_obstruction	NA	NA				p40000_i0_Date_of_death_._Instance_43
40001				Date_Death_caused_by_Acute_peritonitis	NA	NA				p40000_i0_Date_of_death_._Instance_44
40001				Date_Death_caused_by_Other_and_unspecified_cirrhosis_of_liver	NA	NA				p40000_i0_Date_of_death_._Instance_45
40001				Date_Death_caused_by_Systemic_involvement_of_connective_tissue_unspecified	NA	NA				p40000_i0_Date_of_death_._Instance_46
40001				Date_Death_caused_by_Other_ill.defined_and_unspecified_causes_of_mortality	NA	NA				p40000_i0_Date_of_death_._Instance_47
40001				Date_Death_caused_by_Emergency_use_of_U071	NA	NA				p40000_i0_Date_of_death_._Instance_48
40001				Date_Death_caused_by_Other_specified_events_undetermined_intent	NA	NA				p40000_i0_Date_of_death_._Instance_49
100060				Date_first_reported__Mood_swings	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100060		1920	direct:2009
100060				Date_first_reported__Miserableness	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100061		1930	direct:2009
100060				Date_first_reported__Irritability	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100062		1940	direct:2009
100060				Date_first_reported__Sensitivity_._hurt_feelings	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100063		1950	direct:2009
100060				Date_first_reported__Fedup_feelings	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100064		1960	direct:2009
100060				Date_first_reported__Nervous_feelings	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100065		1970	direct:2009
100060				Date_first_reported__Worrier_._anxious_feelings	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100066		1980	direct:2009
100060				Date_first_reported__Tense_._highly_strung	NA	NA	https://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100067		1990	direct:2009
6142				unemployed_due_to_sickness_i0	NA	NA			4	p53_i0
6142				unemployed_due_to_sickness_i1	NA	NA			4	p53_i1
6142				unemployed_due_to_sickness_i2	NA	NA			4	p53_i2
6142				unemployed_due_to_sickness_i3	NA	NA			4	p53_i3
20107				dad_had_severe_depression_i0	NA	NA			17434	p53_i0
20107				dad_had_severe_depression_i1	NA	NA			17434	p53_i1
20107				dad_had_severe_depression_i2	NA	NA			17434	p53_i2
20107				dad_had_severe_depression_i3	NA	NA			17434	p53_i3
20110				mum_had_severe_depression_i0	NA	NA			17434	p53_i0
20110				mum_had_severe_depression_i1	NA	NA			17434	p53_i1
20110				mum_had_severe_depression_i2	NA	NA			17434	p53_i2
20110				mum_had_severe_depression_i3	NA	NA			17434	p53_i3
20107				dad_had_parkinsons_disease_i0	NA	NA			11461	p53_i0
20107				dad_had_parkinsons_disease_i1	NA	NA			11461	p53_i1
20107				dad_had_parkinsons_disease_i2	NA	NA			11461	p53_i2
20107				dad_had_parkinsons_disease_i3	NA	NA			11461	p53_i3
20110				mum_had_parkinsons_disease_i0	NA	NA			11461	p53_i0
20110				mum_had_parkinsons_disease_i1	NA	NA			11461	p53_i1
20110				mum_had_parkinsons_disease_i2	NA	NA			11461	p53_i2
20110				mum_had_parkinsons_disease_i3	NA	NA			11461	p53_i3
20107				dad_had_alzheimers_i0	NA	NA			33764	p53_i0
20107				dad_had_alzheimers_i1	NA	NA			33764	p53_i1
20107				dad_had_alzheimers_i2	NA	NA			33764	p53_i2
20107				dad_had_alzheimers_i3	NA	NA			33764	p53_i3
20110				mum_had_alzheimers_i0	NA	NA			33764	p53_i0
20110				mum_had_alzheimers_i1	NA	NA			33764	p53_i1
20110				mum_had_alzheimers_i2	NA	NA			33764	p53_i2
20110				mum_had_alzheimers_i3	NA	NA			33764	p53_i3
20111				sibling_has_severe_depression_i0	NA	NA			37331	p53_i0
20111				sibling_has_parkinsons_disease_i0	NA	NA			3696	p53_i1
20111				sibling_has_alheimers_i0	NA	NA			5124	p53_i2
20111				sibling_has_severe_depression_i1	NA	NA			37331	p53_i3
20111				sibling_has_parkinsons_disease_i1	NA	NA			3696	p53_i0
20111				sibling_has_alheimers_i1	NA	NA			5124	p53_i1
20111				sibling_has_severe_depression_i2	NA	NA			37331	p53_i2
20111				sibling_has_parkinsons_disease_i2	NA	NA			3696	p53_i3
20111				sibling_has_alheimers_i2	NA	NA			5124	p53_i0
20111				sibling_has_severe_depression_i3	NA	NA			37331	p53_i1
20111				sibling_has_parkinsons_disease_i3	NA	NA			3696	p53_i2
20111				sibling_has_alheimers_i3	NA	NA			5124	p53_i3
120019	Troubled by pain or discomfort present for more than 3 months	167108	167108	p120019_Troubled_by_pain_or_discomfort_present_for_more_than_3_months_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=154	p120019_Troubled_by_pain_or_discomfort_present_for_more_than_3_months	1	p120128_When_pain_questionnaire_completed
120038	Pain or tenderness during the past week	167108	167108	p120038_Pain_or_tenderness_during_the_past_week_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=155	p120038_Pain_or_tenderness_during_the_past_week	1	p120128_When_pain_questionnaire_completed
20414	Frequency of drinking alcohol	157235	157235	p20414_Frequency_of_drinking_alcohol_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=156	p20414_Frequency_of_drinking_alcohol	1	p20400_Date_of_completing_mental_health_questionnaire
20416	Frequency of consuming six or more units of alcohol	143564	143564	p20416_Frequency_of_consuming_six_or_more_units_of_alcohol_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=157	p20416_Frequency_of_consuming_six_or_more_units_of_alcohol	1	p20400_Date_of_completing_mental_health_questionnaire
20437	Thoughts of death during worst depression	88960	88960	p20437_Thoughts_of_death_during_worst_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=158	p20437_Thoughts_of_death_during_worst_depression	1	p20400_Date_of_completing_mental_health_questionnaire
20446	Ever had prolonged feelings of sadness or depression	157235	157235	p20446_Ever_had_prolonged_feelings_of_sadness_or_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=159	p20446_Ever_had_prolonged_feelings_of_sadness_or_depression	1	p20400_Date_of_completing_mental_health_questionnaire
20448	Professional informed about depression	88960	88960	p20448_Professional_informed_about_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=160	p20448_Professional_informed_about_depression	1	p20400_Date_of_completing_mental_health_questionnaire
20458	General happiness	157235	157235	p20458_General_happiness_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=161	p20458_General_happiness	1	p20400_Date_of_completing_mental_health_questionnaire
20459	General happiness with own health	157235	157235	p20459_General_happiness_with_own_health_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=162	p20459_General_happiness_with_own_health	1	p20400_Date_of_completing_mental_health_questionnaire
20460	Belief that own life is meaningful	157235	157235	p20460_Belief_that_own_life_is_meaningful_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=163	p20460_Belief_that_own_life_is_meaningful	1	p20400_Date_of_completing_mental_health_questionnaire
20479	Ever thought that life not worth living	157235	157235	p20479_Ever_thought_that_life_not_worth_living_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=164	p20479_Ever_thought_that_life_not_worth_living	1	p20400_Date_of_completing_mental_health_questionnaire
20480	Ever self-harmed	157235	157235	p20480_Ever_selfharmed_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=165	p20480_Ever_selfharmed	1	p20400_Date_of_completing_mental_health_questionnaire
20481	Self-harmed in past year	6854	6854	p20481_Selfharmed_in_past_year_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=166	p20481_Selfharmed_in_past_year	1	p20400_Date_of_completing_mental_health_questionnaire
20482	Number of times self-harmed	6854	6854	p20482_Number_of_times_selfharmed_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=167	p20482_Number_of_times_selfharmed	1	p20400_Date_of_completing_mental_health_questionnaire
20483	Ever attempted suicide	6854	6854	p20483_Ever_attempted_suicide_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=168	p20483_Ever_attempted_suicide	1	p20400_Date_of_completing_mental_health_questionnaire
20484	Attempted suicide in past year	3553	3553	p20484_Attempted_suicide_in_past_year_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=169	p20484_Attempted_suicide_in_past_year	1	p20400_Date_of_completing_mental_health_questionnaire
20485	Ever contemplated self-harm	157235	157235	p20485_Ever_contemplated_selfharm_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=170	p20485_Ever_contemplated_selfharm	1	p20400_Date_of_completing_mental_health_questionnaire
20486	Contemplated self-harm in past year	23153	23153	p20486_Contemplated_selfharm_in_past_year_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=171	p20486_Contemplated_selfharm_in_past_year	1	p20400_Date_of_completing_mental_health_questionnaire
20499	Ever sought or received professional help for mental distress	157235	157235	p20499_Ever_sought_or_received_professional_help_for_mental_distress_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=172	p20499_Ever_sought_or_received_professional_help_for_mental_distress	1	p20400_Date_of_completing_mental_health_questionnaire
20500	Ever suffered mental distress preventing usual activities	157235	157235	p20500_Ever_suffered_mental_distress_preventing_usual_activities_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=173	p20500_Ever_suffered_mental_distress_preventing_usual_activities	1	p20400_Date_of_completing_mental_health_questionnaire
20510	Recent feelings of depression	157235	157235	p20510_Recent_feelings_of_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=174	p20510_Recent_feelings_of_depression	1	p20400_Date_of_completing_mental_health_questionnaire
20513	Recent thoughts of suicide or self-harm	157235	157235	p20513_Recent_thoughts_of_suicide_or_selfharm_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=175	p20513_Recent_thoughts_of_suicide_or_selfharm	1	p20400_Date_of_completing_mental_health_questionnaire
20544	Mental health problems ever diagnosed by a professional	50046	74791	p20544_Mental_health_problems_ever_diagnosed_by_a_professional_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=176	p20544_Mental_health_problems_ever_diagnosed_by_a_professional	1	p20400_Date_of_completing_mental_health_questionnaire
28687	Currently suffering from difficulty sleeping	195605	195605	p28687_Currently_suffering_from_difficulty_sleeping_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=177	p28687_Currently_suffering_from_difficulty_sleeping	1	p28755_When_Health_and_Well-being_Questionnaire_completed
28693	Currently suffering from unrestful sleep	195605	195605	p28693_Currently_suffering_from_unrestful_sleep_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=178	p28693_Currently_suffering_from_unrestful_sleep	1	p28755_When_Health_and_Well-being_Questionnaire_completed
28729	Currently suffering from weakness of muscles or difficulty moving arms and legs	195605	195605	p28729_Currently_suffering_from_weakness_of_muscles_or_difficulty_moving_arms_and_legs_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=179	p28729_Currently_suffering_from_weakness_of_muscles_or_difficulty_moving_arms_and_legs	1	p28755_When_Health_and_Well-being_Questionnaire_completed
28737	Little interest or pleasure in doing things over the last 2 weeks	195605	195605	p28737_Little_interest_or_pleasure_in_doing_things_over_the_last_2_weeks_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=180	p28737_Little_interest_or_pleasure_in_doing_things_over_the_last_2_weeks	1	p28755_When_Health_and_Well-being_Questionnaire_completed
