Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	new_col_name	link	value_to_detect	date_col	field_category
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_2		5	p53_i2	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_2		5	p53_i2	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_2		5	p53_i2	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_2		5	p53_i2	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_0		5	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_0		5	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_0		5	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_0		5	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_0		5	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_0		5	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Sociodemographics
