Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	new_col_name	link	value_to_detect	date_col	field_category
20240	Maximum digits remembered correctly	110991	110991	p20240_Date_first_reported_lt.10._Maximum_digits_remembered_correctly_._Instance_0		lt.10%	p20138_When_numeric_memory_test_completed	Online follow-up:Cognitive function online:Numeric memory
20247	Total errors traversing numeric path (trail 							NA
20248	Total errors traversing alphanumeric path (trail 							NA
20270	Home location at assessment - Output Area (2001 census)	500956	612108					NA
20273	Home location at assessment - Output Area (2011 census)	500956	612108					NA
20400	Date of completing mental health questionnaire	157266	157266					NA
20403	Amount of alcohol drunk on a typical drinking day	143564	143564					NA
20414	Frequency of drinking alcohol	157235	157235	p20414_Frequency_of_drinking_alcohol_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=156	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Alcohol use
20416	Frequency of consuming six or more units of alcohol	143564	143564	p20416_Frequency_of_consuming_six_or_more_units_of_alcohol_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=157	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Alcohol use
20421	Ever felt worried tense or anxious for most of a month or longer	157235	157235	p20421_Ever_felt_worried._tense._or_anxious_for_most_of_a_month_or_longer_dated				Online follow-up:Mental health:Anxiety
20428	Professional informed about anxiety	48728	48728					NA
20437	Thoughts of death during worst depression	88960	88960	p20437_Thoughts_of_death_during_worst_depression_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=158	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Depression
20446	Ever had prolonged feelings of sadness or depression	157235	157235	p20446_Ever_had_prolonged_feelings_of_sadness_or_depression_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=159	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Depression
20448	Professional informed about depression	88960	88960	p20448_Professional_informed_about_depression_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=160	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Depression
20458	General happiness	157235	157235	p20458_General_happiness_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=161	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Happiness and subjective well-being
20459	General happiness with own health	157235	157235	p20459_General_happiness_with_own_health_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=162	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Happiness and subjective well-being
20460	Belief that own life is meaningful	157235	157235	p20460_Belief_that_own_life_is_meaningful_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=163	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Happiness and subjective well-being
20479	Ever thought that life not worth living	157235	157235	p20479_Ever_thought_that_life_not_worth_living_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=164	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20480	Ever self-harmed	157235	157235	p20480_Ever_selfharmed_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=165	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20481	Self-harmed in past year	6854	6854	p20481_Selfharmed_in_past_year_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=166	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20482	Number of times self-harmed	6854	6854	p20482_Number_of_times_selfharmed_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=167	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20483	Ever attempted suicide	6854	6854	p20483_Ever_attempted_suicide_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=168	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20484	Attempted suicide in past year	3553	3553	p20484_Attempted_suicide_in_past_year_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=169	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20485	Ever contemplated self-harm	157235	157235	p20485_Ever_contemplated_selfharm_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=170	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20486	Contemplated self-harm in past year	23153	23153	p20486_Contemplated_selfharm_in_past_year_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=171	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Self-harm behaviours
20499	Ever sought or received professional help for mental distress	157235	157235	p20499_Ever_sought_or_received_professional_help_for_mental_distress_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=172	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Mental distress
20500	Ever suffered mental distress preventing usual activities	157235	157235	p20500_Ever_suffered_mental_distress_preventing_usual_activities_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=173	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Mental distress
20505	Recent easy annoyance or irritability	157235	157235					NA
20506	Recent feelings or nervousness or anxiety	157235	157235					NA
20510	Recent feelings of depression	157235	157235	p20510_Recent_feelings_of_depression_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=174	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Depression
20513	Recent thoughts of suicide or self-harm	157235	157235	p20513_Recent_thoughts_of_suicide_or_selfharm_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=175	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Depression
20544	Mental health problems ever diagnosed by a professional	50046	74791	p20544_Mental_health_problems_ever_diagnosed_by_a_professional_dated	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=176	1	p20400_Date_of_completing_mental_health_questionnaire	Online follow-up:Mental health:Mental distress
20760	Number of puzzles correctly solved	174581	174581	p20760_Date_first_reported_lt.10._Number_of_puzzles_correctly_solved_._Instance_1		lt.10%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7		gt.90%	p20765_When_matrices_puzzle_completed	Online follow-up:Cognitive function online:Matrix pattern completion
