column value_to_detect new_col date_col
p20107_i2_Illnesses_of_father_._Instance_2 33764 dad_had_alzheimers_i2 NA
p20107_i3_Illnesses_of_father_._Instance_3 33764 dad_had_alzheimers_i3 NA
p20110_i0_Illnesses_of_mother_._Instance_0 33764 mum_had_alzheimers_i0 NA
p20110_i1_Illnesses_of_mother_._Instance_1 33764 mum_had_alzheimers_i1 NA
p20110_i2_Illnesses_of_mother_._Instance_2 33764 mum_had_alzheimers_i2 NA
p20110_i3_Illnesses_of_mother_._Instance_3 33764 mum_had_alzheimers_i3 NA
p20111_i0_Illnesses_of_siblings_._Instance_0 37331 sibling_has_severe_depression_i0 NA
p20111_i0_Illnesses_of_siblings_._Instance_0 3696 sibling_has_parkinsons_disease_i0 NA
p20111_i0_Illnesses_of_siblings_._Instance_0 5124 sibling_has_alheimers_i0 NA
p20111_i1_Illnesses_of_siblings_._Instance_1 37331 sibling_has_severe_depression_i1 NA
p20111_i1_Illnesses_of_siblings_._Instance_1 3696 sibling_has_parkinsons_disease_i1 NA
p20111_i1_Illnesses_of_siblings_._Instance_1 5124 sibling_has_alheimers_i1 NA
p20111_i2_Illnesses_of_siblings_._Instance_2 37331 sibling_has_severe_depression_i2 NA
p20111_i2_Illnesses_of_siblings_._Instance_2 3696 sibling_has_parkinsons_disease_i2 NA
p20111_i2_Illnesses_of_siblings_._Instance_2 5124 sibling_has_alheimers_i2 NA
p20111_i3_Illnesses_of_siblings_._Instance_3 37331 sibling_has_severe_depression_i3 NA
p20111_i3_Illnesses_of_siblings_._Instance_3 3696 sibling_has_parkinsons_disease_i3 NA
p20111_i3_Illnesses_of_siblings_._Instance_3 5124 sibling_has_alheimers_i3 NA
p20126_i0_Bipolar_and_major_depression_status_._Instance_0 gt:1 NA NA
p20127_i0_Neuroticism_score_._Instance_0 gt:90% NA NA
p20124_i0_Probable_recurrent_major_depression_moderate_._Instance_0 1 NA NA
p20125_i0_Probable_recurrent_major_depression_severe_._Instance_0 1 NA NA
p20123_i0_Single_episode_of_probable_major_depression_._Instance_0 1 NA NA
p4526_i0_Happiness_._Instance_0 gt:3 NA NA
p4526_i1_Happiness_._Instance_1 gt:3 NA NA
p4526_i2_Happiness_._Instance_2 gt:3 NA NA
p4526_i3_Happiness_._Instance_3 gt:3 NA NA
p2178_i0_Overall_health_rating_._Instance_0 gt:4 NA NA
p2178_i1_Overall_health_rating_._Instance_1 gt:4 NA NA
p2178_i2_Overall_health_rating_._Instance_2 gt:4 NA NA
p2178_i3_Overall_health_rating_._Instance_3 gt:4 NA NA
p2296_i0_Falls_in_the_last_year_._Instance_0 gt:90% NA NA
p2296_i1_Falls_in_the_last_year_._Instance_1 gt:90% NA NA
p2296_i2_Falls_in_the_last_year_._Instance_2 gt:90% NA NA
p2296_i3_Falls_in_the_last_year_._Instance_3 gt:90% NA NA
p6159_i0_Pain_types_experienced_in_last_month_._Instance_0 1 NA NA
p6159_i1_Pain_types_experienced_in_last_month_._Instance_1 1 NA NA
p6159_i2_Pain_types_experienced_in_last_month_._Instance_2 1 NA NA
p6159_i3_Pain_types_experienced_in_last_month_._Instance_3 1 NA NA
p100001_i0_Food_weight_._Instance_0 lt:10% NA NA
p100001_i1_Food_weight_._Instance_1 lt:10% NA NA
p100001_i2_Food_weight_._Instance_2 lt:10% NA NA
p100001_i3_Food_weight_._Instance_3 lt:10% NA NA
p100001_i4_Food_weight_._Instance_4 lt:10% NA NA
p68_i0_Number_of_blood_samples_taken_._Instance_0 gt:90% NA NA
p68_i1_Number_of_blood_samples_taken_._Instance_1 gt:90% NA NA
p68_i2_Number_of_blood_samples_taken_._Instance_2 gt:90% NA NA
p68_i3_Number_of_blood_samples_taken_._Instance_3 gt:90% NA NA
p31040_i2_Plasma_Amyloid_beta40_._Instance_2 gt:90% NA NA
p31040_i3_Plasma_Amyloid_beta40_._Instance_3 gt:90% NA NA
p31041_i2_Plasma_Amyloid_beta42_._Instance_2 gt:90% NA NA
p31041_i3_Plasma_Amyloid_beta42_._Instance_3 gt:90% NA NA
p31042_i2_Plasma_Glial_fibrillary_acidic_protein_._Instance_2 gt:90% NA NA
p31042_i3_Plasma_Glial_fibrillary_acidic_protein_._Instance_3 gt:90% NA NA
p31044_i2_Plasma_pTau181_._Instance_2 gt:90% NA NA
p31044_i3_Plasma_pTau181_._Instance_3 gt:90% NA NA
p23045_i0_a0_Very_nervous_mood_over_last_week_._Instance_0_._Array_0 gt:2 NA NA
p23045_i0_a1_Very_nervous_mood_over_last_week_._Instance_0_._Array_1 gt:2 NA NA
p23045_i0_a2_Very_nervous_mood_over_last_week_._Instance_0_._Array_2 gt:2 NA NA
p23045_i0_a3_Very_nervous_mood_over_last_week_._Instance_0_._Array_3 gt:2 NA NA
p23045_i1_a0_Very_nervous_mood_over_last_week_._Instance_1_._Array_0 gt:2 NA NA
p23045_i1_a1_Very_nervous_mood_over_last_week_._Instance_1_._Array_1 gt:2 NA NA
p23045_i1_a2_Very_nervous_mood_over_last_week_._Instance_1_._Array_2 gt:2 NA NA
p23045_i1_a3_Very_nervous_mood_over_last_week_._Instance_1_._Array_3 gt:2 NA NA
p23046_i0_a0_Down_in_dumps_over_last_week_._Instance_0_._Array_0 gt:2 NA NA
p23046_i0_a1_Down_in_dumps_over_last_week_._Instance_0_._Array_1 gt:2 NA NA
p23046_i0_a2_Down_in_dumps_over_last_week_._Instance_0_._Array_2 gt:2 NA NA
p23046_i0_a3_Down_in_dumps_over_last_week_._Instance_0_._Array_3 gt:2 NA NA
p23046_i1_a0_Down_in_dumps_over_last_week_._Instance_1_._Array_0 gt:2 NA NA
p23046_i1_a1_Down_in_dumps_over_last_week_._Instance_1_._Array_1 gt:2 NA NA
p23046_i1_a2_Down_in_dumps_over_last_week_._Instance_1_._Array_2 gt:2 NA NA
p23046_i1_a3_Down_in_dumps_over_last_week_._Instance_1_._Array_3 gt:2 NA NA
p23072_i0_a0_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_0 gt:2 NA NA
p23072_i0_a1_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_1 gt:2 NA NA
p23072_i0_a2_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_2 gt:2 NA NA
p23072_i0_a3_Downhearted_and_depressed_over_last_week_._Instance_0_._Array_3 gt:2 NA NA
p23072_i1_a0_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_0 gt:2 NA NA
p23072_i1_a1_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_1 gt:2 NA NA
p23072_i1_a2_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_2 gt:2 NA NA
p23072_i1_a3_Downhearted_and_depressed_over_last_week_._Instance_1_._Array_3 gt:2 NA NA
p20156_i0_Duration_to_complete_numeric_path_trail_#1_._Instance_0 gt:90% NA NA
p20156_i1_Duration_to_complete_numeric_path_trail_#1_._Instance_1 gt:90% NA NA
p20157_i0_Duration_to_complete_alphanumeric_path_trail_#2_._Instance_0 gt:90% NA NA
p20157_i1_Duration_to_complete_alphanumeric_path_trail_#2_._Instance_1 gt:90% NA NA
p20247_i0_Total_errors_traversing_numeric_path_trail_#1_._Instance_0 gt:90% NA NA
p20247_i1_Total_errors_traversing_numeric_path_trail_#1_._Instance_1 gt:90% NA NA
p20248_i0_Total_errors_traversing_alphanumeric_path_trail_#2_._Instance_0 gt:90% NA NA
p20248_i1_Total_errors_traversing_alphanumeric_path_trail_#2_._Instance_1 gt:90% NA NA
p20159_i0_Number_of_symbol_digit_matches_made_correctly_._Instance_0 lt:90% NA NA
p20159_i1_Number_of_symbol_digit_matches_made_correctly_._Instance_1 lt:90% NA NA
p20195_i0_Number_of_symbol_digit_matches_attempted_._Instance_0 lt:90% NA NA
p20195_i1_Number_of_symbol_digit_matches_attempted_._Instance_1 lt:90% NA NA
p20132_i0_a0_Number_of_incorrect_matches_in_round_._Instance_0_._Array_0 gt:90% NA NA
p20132_i0_a1_Number_of_incorrect_matches_in_round_._Instance_0_._Array_1 gt:90% NA NA
p20132_i0_a2_Number_of_incorrect_matches_in_round_._Instance_0_._Array_2 gt:90% NA NA
p20240_i0_Maximum_digits_remembered_correctly_._Instance_0 lt:10% NA NA
p20760_i1_Number_of_puzzles_correctly_solved_._Instance_1 lt:10% NA NA
p20763_i1_a0_Duration_spent_answering_each_puzzle_._Instance_1_._Array_0  gt:90% NA NA
p20763_i1_a1_Duration_spent_answering_each_puzzle_._Instance_1_._Array_1  gt:90% NA NA
p20763_i1_a2_Duration_spent_answering_each_puzzle_._Instance_1_._Array_2  gt:90% NA NA
p20763_i1_a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3  gt:90% NA NA
p20763_i1_a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4  gt:90% NA NA
p20763_i1_a5_Duration_spent_answering_each_puzzle_._Instance_1_._Array_5  gt:90% NA NA
p20763_i1_a6_Duration_spent_answering_each_puzzle_._Instance_1_._Array_6  gt:90% NA NA
p20763_i1_a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7  gt:90% NA NA
p20763_i1_a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8  gt:90% NA NA
p20763_i1_a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9  gt:90% NA NA
p20763_i1_a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10  gt:90% NA NA
p20763_i1_a11_Duration_spent_answering_each_puzzle_._Instance_1_._Array_11  gt:90% NA NA
p20763_i1_a12_Duration_spent_answering_each_puzzle_._Instance_1_._Array_12  gt:90% NA NA
p20763_i1_a13_Duration_spent_answering_each_puzzle_._Instance_1_._Array_13  gt:90% NA NA
p20763_i1_a14_Duration_spent_answering_each_puzzle_._Instance_1_._Array_14  gt:90% NA NA
p2405_i0_Number_of_children_fathered_._Instance_0 gt:0 NA NA
p2405_i1_Number_of_children_fathered_._Instance_1 gt:0 NA NA
p2405_i2_Number_of_children_fathered_._Instance_2 gt:0 NA NA
p2405_i3_Number_of_children_fathered_._Instance_3 gt:0 NA NA
p120019_Troubled_by_pain_or_discomfort_present_for_more_than_3_months 1 p120019_Troubled_by_pain_or_discomfort_present_for_more_than_3_months_dated p120128_When_pain_questionnaire_completed
p120038_Pain_or_tenderness_during_the_past_week 1 p120038_Pain_or_tenderness_during_the_past_week_dated p120128_When_pain_questionnaire_completed
p120101_Pain.discomfort_today 1 p120101_Pain.discomfort_today_dated p120128_When_pain_questionnaire_completed
p20499_Ever_sought_or_received_professional_help_for_mental_distress 1 p20499_Ever_sought_or_received_professional_help_for_mental_distress_dated p20400_Date_of_completing_mental_health_questionnaire
p20500_Ever_suffered_mental_distress_preventing_usual_activities 1 p20500_Ever_suffered_mental_distress_preventing_usual_activities_dated p20400_Date_of_completing_mental_health_questionnaire
p20544_Mental_health_problems_ever_diagnosed_by_a_professional 1 p20544_Mental_health_problems_ever_diagnosed_by_a_professional_dated p20400_Date_of_completing_mental_health_questionnaire
p20446_Ever_had_prolonged_feelings_of_sadness_or_depression 1 p20446_Ever_had_prolonged_feelings_of_sadness_or_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p20448_Professional_informed_about_depression 1 p20448_Professional_informed_about_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p20510_Recent_feelings_of_depression 1 p20510_Recent_feelings_of_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p20513_Recent_thoughts_of_suicide_or_selfharm 1 p20513_Recent_thoughts_of_suicide_or_selfharm_dated p20400_Date_of_completing_mental_health_questionnaire
p20437_Thoughts_of_death_during_worst_depression 1 p20437_Thoughts_of_death_during_worst_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p20421_Ever_felt_worried._tense._or_anxious_for_most_of_a_month_or_longer 1 p20421_Ever_felt_worried._tense._or_anxious_for_most_of_a_month_or_longer_dated p20400_Date_of_completing_mental_health_questionnaire
p20428_Professional_informed_about_anxiety 1 p20428_Professional_informed_about_anxiety_dated p20400_Date_of_completing_mental_health_questionnaire
p20505_Recent_easy_annoyance_or_irritability 1 p20505_Recent_easy_annoyance_or_irritability_dated p20400_Date_of_completing_mental_health_questionnaire
p20506_Recent_feelings_or_nervousness_or_anxiety 1 p20506_Recent_feelings_or_nervousness_or_anxiety_dated p20400_Date_of_completing_mental_health_questionnaire
p20414_Frequency_of_drinking_alcohol 1 p20414_Frequency_of_drinking_alcohol_dated p20400_Date_of_completing_mental_health_questionnaire
p20403_Amount_of_alcohol_drunk_on_a_typical_drinking_day 1 p20403_Amount_of_alcohol_drunk_on_a_typical_drinking_day_dated p20400_Date_of_completing_mental_health_questionnaire
p20416_Frequency_of_consuming_six_or_more_units_of_alcohol 1 p20416_Frequency_of_consuming_six_or_more_units_of_alcohol_dated p20400_Date_of_completing_mental_health_questionnaire
p20479_Ever_thought_that_life_not_worth_living 1 p20479_Ever_thought_that_life_not_worth_living_dated p20400_Date_of_completing_mental_health_questionnaire
p20485_Ever_contemplated_selfharm 1 p20485_Ever_contemplated_selfharm_dated p20400_Date_of_completing_mental_health_questionnaire
p20486_Contemplated_selfharm_in_past_year 1 p20486_Contemplated_selfharm_in_past_year_dated p20400_Date_of_completing_mental_health_questionnaire
p20480_Ever_selfharmed 1 p20480_Ever_selfharmed_dated p20400_Date_of_completing_mental_health_questionnaire
p20482_Number_of_times_selfharmed 1 p20482_Number_of_times_selfharmed_dated p20400_Date_of_completing_mental_health_questionnaire
p20481_Selfharmed_in_past_year 1 p20481_Selfharmed_in_past_year_dated p20400_Date_of_completing_mental_health_questionnaire
p20483_Ever_attempted_suicide 1 p20483_Ever_attempted_suicide_dated p20400_Date_of_completing_mental_health_questionnaire
p20484_Attempted_suicide_in_past_year 1 p20484_Attempted_suicide_in_past_year_dated p20400_Date_of_completing_mental_health_questionnaire
p20458_General_happiness 1 p20458_General_happiness_dated p20400_Date_of_completing_mental_health_questionnaire
p20459_General_happiness_with_own_health 1 p20459_General_happiness_with_own_health_dated p20400_Date_of_completing_mental_health_questionnaire
p20460_Belief_that_own_life_is_meaningful 1 p20460_Belief_that_own_life_is_meaningful_dated p20400_Date_of_completing_mental_health_questionnaire
p131125_Source_of_report_of_G98_other_disorders_of_nervous_system._not_elsewhere_classified not_na p131124_Date_G98_first_reported_other_disorders_of_nervous_system._not_elsewhere_classified p131124_Date_G98_first_reported_other_disorders_of_nervous_system._not_elsewhere_classified
p29117_Attempted_suicide_in_past_year 1 p29117_Attempted_suicide_in_past_year_dated p20400_Date_of_completing_mental_health_questionnaire
p29110_Contemplated_selfharm_in_past_year 1 p29110_Contemplated_selfharm_in_past_year_dated p20400_Date_of_completing_mental_health_questionnaire
p29116_Ever_attempted_suicide 1 p29116_Ever_attempted_suicide_dated p20400_Date_of_completing_mental_health_questionnaire
p29109_Ever_contemplated_selfharm 1 p29109_Ever_contemplated_selfharm_dated p20400_Date_of_completing_mental_health_questionnaire
p29111_Ever_selfharmed 1 p29111_Ever_selfharmed_dated p20400_Date_of_completing_mental_health_questionnaire
p29108_Ever_thought_that_life_not_worth_living 1 p29108_Ever_thought_that_life_not_worth_living_dated p20400_Date_of_completing_mental_health_questionnaire
p29114_Selfharmed_in_past_year 1 p29114_Selfharmed_in_past_year_dated p20400_Date_of_completing_mental_health_questionnaire
p29000_Mental_health_conditions_ever_diagnosed_by_a_professional 1 p29000_Mental_health_conditions_ever_diagnosed_by_a_professional_dated p20400_Date_of_completing_mental_health_questionnaire
p29001_Mental_health_conditions_experienced_by_first_degree_blood_relatives 1 p29001_Mental_health_conditions_experienced_by_first_degree_blood_relatives_dated p20400_Date_of_completing_mental_health_questionnaire
p29050_Ever_had_period_extreme_irritability 1 p29050_Ever_had_period_extreme_irritability_dated p20400_Date_of_completing_mental_health_questionnaire
p29049_Ever_had_period_of_mania_._excitability 1 p29049_Ever_had_period_of_mania_._excitability_dated p20400_Date_of_completing_mental_health_questionnaire
p29055_Lifetime_number_of_manic_or_irritable_periods 1 p29055_Lifetime_number_of_manic_or_irritable_periods_dated p20400_Date_of_completing_mental_health_questionnaire
