column value_to_detect new_col date_col
p28745_Difficulty_with_walking_a_long_distance 1 p28755_When_Health_and_Well.being_Questionnaire_completed Difficulty_with_walking_a_long_distance
p28746_Difficulty_with_washing_whole_body 1 p28755_When_Health_and_Well.being_Questionnaire_completed Difficulty_with_washing_whole_body
p28751_Difficulty_with_doing_your_day.to.day_work 1 p28755_When_Health_and_Well.being_Questionnaire_completed Difficulty_with_doing_your_day.to.day_work
p29150_Mobility_problems_today 1 p29206_When_online_General_health_questionnaire_completed Mobility_problems_today
p29152_Problems_doing_usual_activities 1 p29206_When_online_General_health_questionnaire_completed Problems_doing_usual_activities
p29152_Problems_doing_usual_activities 1 p29206_When_online_General_health_questionnaire_completed Problems_doing_usual_activities
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C160 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Cardia
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C180 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Caecum
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C189 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Colon_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C19 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_of_rectosigmoid_junction
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C259 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Pancreas_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C260 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Intestinal_tractpart_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C269 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Ill-defined_sites_within_the_digestive_system
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C349 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Bronchus_or_lung_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C439 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Malignant_melanoma_of_skin_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C449 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Malignant_neoplasm_of_skin_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C56 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_of_ovary
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C61 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_of_prostate
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C66 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_of_ureter
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C679 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Bladder_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C719 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_Brain_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C800 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasmprimary_site_unknownso_stated
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C809 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasmprimary_site_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C80 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasm_without_specification_of_site
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 C97 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Malignant_neoplasms_of_independent_primary_multiple_sites
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 D180 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Haemangioma_any_site
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 D329 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Benign_neoplasm_Meninges_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 E86 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Volume_depletion
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 F019 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Vascular_dementia_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 F03 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Unspecified_dementia
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 G10 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Huntington_disease
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 G122 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Motor_neuron_disease
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 G20 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Parkinson_disease
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 G301 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Alzheimer_disease_with_late_onset
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 G309 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Alzheimer_disease_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 G318 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Other_specified_degenerative_diseases_of_nervous_system
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I219 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Acute_myocardial_infarctionunspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I259 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Chronic_ischaemic_heart_disease_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I269 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Pulmonary_embolism_without_mention_of_acute_cor_pulmonale
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I509 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Heart_failure_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I517 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Cardiomegaly
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I609 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Subarachnoid_haemorrhage_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I64 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Strokenot_specified_as_haemorrhage_or_infarction
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I679 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Cerebrovascular_disease_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 I739 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Peripheral_vascular_disease_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 J180 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Bronchopneumonia_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 J189 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Pneumonia_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 J440 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Chronic_obstructive_pulmonary_disease_with_acute_lower_respiratory_infection
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 J47 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Bronchiectasis
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 K566 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Other_and_unspecified_intestinal_obstruction
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 K650 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Acute_peritonitis
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 K746 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Other_and_unspecified_cirrhosis_of_liver
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 M359 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Systemic_involvement_of_connective_tissue_unspecified
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 R99 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Other_ill-defined_and_unspecified_causes_of_mortality
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 U071 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Emergency_use_of_U071
p40001_i0_Underlying_primary_cause_of_death._ICD10_._Instance_0 Y34 p40000_i0_Date_of_death_._Instance_0 Date_Death_caused_by_Other_specified_events_undetermined_intent
p2090_i0_Seen_doctor_GP_for_nerves._anxiety._tension_or_depression_._Instance_0 1 NA NA
p2090_i1_Seen_doctor_GP_for_nerves._anxiety._tension_or_depression_._Instance_1 1 NA NA
p2090_i2_Seen_doctor_GP_for_nerves._anxiety._tension_or_depression_._Instance_2 1 NA NA
p2090_i3_Seen_doctor_GP_for_nerves._anxiety._tension_or_depression_._Instance_3 1 NA NA
p2100_i0_Seen_a_psychiatrist_for_nerves._anxiety._tension_or_depression_._Instance_0 1 NA NA
p2100_i1_Seen_a_psychiatrist_for_nerves._anxiety._tension_or_depression_._Instance_1 1 NA NA
p2100_i2_Seen_a_psychiatrist_for_nerves._anxiety._tension_or_depression_._Instance_2 1 NA NA
p2100_i3_Seen_a_psychiatrist_for_nerves._anxiety._tension_or_depression_._Instance_3 1 NA NA
p20123_i0_Single_episode_of_probable_major_depression_._Instance_0 1 NA NA
p20124_i0_Probable_recurrent_major_depression_moderate_._Instance_0 1 NA NA
p20125_i0_Probable_recurrent_major_depression_severe_._Instance_0 1 NA NA
p20126_i0_Bipolar_and_major_depression_status_._Instance_0 1 NA NA
p20435_Difficulty_concentrating_during_worst_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20436_Fraction_of_day_affected_during_worst_episode_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20437_Thoughts_of_death_during_worst_depression 1 NA NA
p20438_Duration_of_worst_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20440_Impact_on_normal_roles_during_worst_period_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20445_Depression_possibly_related_to_childbirth 1 NA p29198_When_online_Depression_questionnaire_completed
p20446_Ever_had_prolonged_feelings_of_sadness_or_depression 1 NA NA
p20447_Depression_possibly_related_to_stressful_or_traumatic_event 1 NA NA
p20448_Professional_informed_about_depression 1 NA NA
p20449_Feelings_of_tiredness_during_worst_episode_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20450_Feelings_of_worthlessness_during_worst_period_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20510_Recent_feelings_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20536_Weight_change_during_worst_episode_of_depression gt:1 NA p29198_When_online_Depression_questionnaire_completed
p20546_Substances_taken_for_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p20547_Activities_undertaken_to_treat_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p21063_Ever_been_offered.sought_treatment_for_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29003_Recent_feelings_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29011_Ever_had_prolonged_feelings_of_sadness_or_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29013_Depression_possibly_related_to_stressful_or_traumatic_event 1 NA p29198_When_online_Depression_questionnaire_completed
p29016_Brightening_of_mood_in_response_to_positive_events_during_worst_episode_of_depression 1  NA
p29018_Feelings_of_tiredness_during_worst_episode_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29019_Feelings_of_heaviness_in_limbs_during_worst_episode_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29020_Change_in_appetite_during_worst_episode_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29021_Weight_change_during_worst_episode_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29022_Sleep_changed_during_sadness.depression_or_loss_of_interest 1 NA p29198_When_online_Depression_questionnaire_completed
p29026_Difficulty_concentrating_during_worst_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29027_Feelings_of_worthlessness_during_worst_period_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29028_Feelings_of_guilt_during_worst_period_of_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29029_Thoughts_of_death_during_worst_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29037_Professional_informed_about_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29038_Substances_taken_for_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29047_Activities_undertaken_to_treat_depression 1 NA p29198_When_online_Depression_questionnaire_completed
p29154_Anxiety.depression_today 1 NA p29198_When_online_Depression_questionnaire_completed
p120044_Depression_in_past_six_months 1 NA p29198_When_online_Depression_questionnaire_completed
p120102_Anxiety.depression_today 1 NA p29198_When_online_Depression_questionnaire_completed
p120113_Level_of_difficultly_depression_has_made_to_do_work._take_care_of_things_at_home._or_get_along_with_other_people 1 NA p29198_When_online_Depression_questionnaire_completed
