p25877_i2	Volume of grey matter in Occipital Pole (right) | Instance 2
p25884_i2	Volume of grey matter in Pallidum (left) | Instance 2
p25885_i2	Volume of grey matter in Pallidum (right) | Instance 2
p25836_i2	Volume of grey matter in Paracingulate Gyrus (left) | Instance 2
p25837_i2	Volume of grey matter in Paracingulate Gyrus (right) | Instance 2
p25848_i2	Volume of grey matter in Parahippocampal Gyrus, anterior division (left) | Instance 2
p25849_i2	Volume of grey matter in Parahippocampal Gyrus, anterior division (right) | Instance 2
p25850_i2	Volume of grey matter in Parahippocampal Gyrus, posterior division (left) | Instance 2
p25851_i2	Volume of grey matter in Parahippocampal Gyrus, posterior division (right) | Instance 2
p25866_i2	Volume of grey matter in Parietal Operculum Cortex (left) | Instance 2
p25867_i2	Volume of grey matter in Parietal Operculum Cortex (right) | Instance 2
p25868_i2	Volume of grey matter in Planum Polare (left) | Instance 2
p25869_i2	Volume of grey matter in Planum Polare (right) | Instance 2
p25872_i2	Volume of grey matter in Planum Temporale (left) | Instance 2
p25873_i2	Volume of grey matter in Planum Temporale (right) | Instance 2
p25814_i2	Volume of grey matter in Postcentral Gyrus (left) | Instance 2
p25815_i2	Volume of grey matter in Postcentral Gyrus (right) | Instance 2
p25794_i2	Volume of grey matter in Precentral Gyrus (left) | Instance 2
p25795_i2	Volume of grey matter in Precentral Gyrus (right) | Instance 2
p25842_i2	Volume of grey matter in Precuneous Cortex (left) | Instance 2
p25843_i2	Volume of grey matter in Precuneous Cortex (right) | Instance 2
p25882_i2	Volume of grey matter in Putamen (left) | Instance 2
p25883_i2	Volume of grey matter in Putamen (right) | Instance 2
p25834_i2	Volume of grey matter in Subcallosal Cortex (left) | Instance 2
p25835_i2	Volume of grey matter in Subcallosal Cortex (right) | Instance 2
p25786_i2	Volume of grey matter in Superior Frontal Gyrus (left) | Instance 2
p25787_i2	Volume of grey matter in Superior Frontal Gyrus (right) | Instance 2
p25816_i2	Volume of grey matter in Superior Parietal Lobule (left) | Instance 2
p25817_i2	Volume of grey matter in Superior Parietal Lobule (right) | Instance 2
p25798_i2	Volume of grey matter in Superior Temporal Gyrus, anterior division (left) | Instance 2
p25799_i2	Volume of grey matter in Superior Temporal Gyrus, anterior division (right) | Instance 2
p25800_i2	Volume of grey matter in Superior Temporal Gyrus, posterior division (left) | Instance 2
p25801_i2	Volume of grey matter in Superior Temporal Gyrus, posterior division (right) | Instance 2
p25874_i2	Volume of grey matter in Supracalcarine Cortex (left) | Instance 2
p25875_i2	Volume of grey matter in Supracalcarine Cortex (right) | Instance 2
p25818_i2	Volume of grey matter in Supramarginal Gyrus, anterior division (left) | Instance 2
p25819_i2	Volume of grey matter in Supramarginal Gyrus, anterior division (right) | Instance 2
p25820_i2	Volume of grey matter in Supramarginal Gyrus, posterior division (left) | Instance 2
p25821_i2	Volume of grey matter in Supramarginal Gyrus, posterior division (right) | Instance 2
p25854_i2	Volume of grey matter in Temporal Fusiform Cortex, anterior division (left) | Instance 2
p25855_i2	Volume of grey matter in Temporal Fusiform Cortex, anterior division (right) | Instance 2
p25856_i2	Volume of grey matter in Temporal Fusiform Cortex, posterior division (left) | Instance 2
p25857_i2	Volume of grey matter in Temporal Fusiform Cortex, posterior division (right) | Instance 2
p25858_i2	Volume of grey matter in Temporal Occipital Fusiform Cortex (left) | Instance 2
p25859_i2	Volume of grey matter in Temporal Occipital Fusiform Cortex (right) | Instance 2
p25796_i2	Volume of grey matter in Temporal Pole (left) | Instance 2
p25797_i2	Volume of grey matter in Temporal Pole (right) | Instance 2
p25878_i2	Volume of grey matter in Thalamus (left) | Instance 2
p25879_i2	Volume of grey matter in Thalamus (right) | Instance 2
p25895_i2	Volume of grey matter in V Cerebellum (left) | Instance 2
p25896_i2	Volume of grey matter in V Cerebellum (right) | Instance 2
p25897_i2	Volume of grey matter in VI Cerebellum (left) | Instance 2
p25899_i2	Volume of grey matter in VI Cerebellum (right) | Instance 2
p25898_i2	Volume of grey matter in VI Cerebellum (vermis) | Instance 2
p25909_i2	Volume of grey matter in VIIIa Cerebellum (left) | Instance 2
p25911_i2	Volume of grey matter in VIIIa Cerebellum (right) | Instance 2
p25910_i2	Volume of grey matter in VIIIa Cerebellum (vermis) | Instance 2
p25912_i2	Volume of grey matter in VIIIb Cerebellum (left) | Instance 2
p25914_i2	Volume of grey matter in VIIIb Cerebellum (right) | Instance 2
p25913_i2	Volume of grey matter in VIIIb Cerebellum (vermis) | Instance 2
p25906_i2	Volume of grey matter in VIIb Cerebellum (left) | Instance 2
p25908_i2	Volume of grey matter in VIIb Cerebellum (right) | Instance 2
p25907_i2	Volume of grey matter in VIIb Cerebellum (vermis) | Instance 2
p25890_i2	Volume of grey matter in Ventral Striatum (left) | Instance 2
p25891_i2	Volume of grey matter in Ventral Striatum (right) | Instance 2
p25918_i2	Volume of grey matter in X Cerebellum (left) | Instance 2
p25919_i2	Volume of grey matter in X Cerebellum (vermis) | Instance 2
p25920_i2	Volume of grey matter in X Cerebellum (right) | Instance 2
p25023_i2	Volume of accumbens (left) | Instance 2
p25024_i2	Volume of accumbens (right) | Instance 2
p25021_i2	Volume of amygdala (left) | Instance 2
p25022_i2	Volume of amygdala (right) | Instance 2
p25013_i2	Volume of caudate (left) | Instance 2
p25014_i2	Volume of caudate (right) | Instance 2
p25019_i2	Volume of hippocampus (left) | Instance 2
p25020_i2	Volume of hippocampus (right) | Instance 2
p25017_i2	Volume of pallidum (left) | Instance 2
p25018_i2	Volume of pallidum (right) | Instance 2
p25015_i2	Volume of putamen (left) | Instance 2
p25016_i2	Volume of putamen (right) | Instance 2
p25011_i2	Volume of thalamus (left) | Instance 2
p25012_i2	Volume of thalamus (right) | Instance 2
p26501_i2	Mean intensity of 3rd-Ventricle (whole brain) | Instance 2
p26502_i2	Mean intensity of 4th-Ventricle (whole brain) | Instance 2
p26503_i2	Mean intensity of 5th-Ventricle (whole brain) | Instance 2
p26548_i2	Mean intensity of Accumbens-area (left hemisphere) | Instance 2
p26579_i2	Mean intensity of Accumbens-area (right hemisphere) | Instance 2
p26547_i2	Mean intensity of Amygdala (left hemisphere) | Instance 2
p26578_i2	Mean intensity of Amygdala (right hemisphere) | Instance 2
p26504_i2	Mean intensity of Brain-Stem (whole brain) | Instance 2
p26513_i2	Mean intensity of CC-Anterior (whole brain) | Instance 2
p26511_i2	Mean intensity of CC-Central (whole brain) | Instance 2
p26512_i2	Mean intensity of CC-Mid-Anterior (whole brain) | Instance 2
p26510_i2	Mean intensity of CC-Mid-Posterior (whole brain) | Instance 2
p26509_i2	Mean intensity of CC-Posterior (whole brain) | Instance 2
p26505_i2	Mean intensity of CSF (whole brain) | Instance 2
p26543_i2	Mean intensity of Caudate (left hemisphere) | Instance 2
p26574_i2	Mean intensity of Caudate (right hemisphere) | Instance 2
p26541_i2	Mean intensity of Cerebellum-Cortex (left hemisphere) | Instance 2
p26572_i2	Mean intensity of Cerebellum-Cortex (right hemisphere) | Instance 2
p26540_i2	Mean intensity of Cerebellum-White-Matter (left hemisphere) | Instance 2
p26571_i2	Mean intensity of Cerebellum-White-Matter (right hemisphere) | Instance 2
p26546_i2	Mean intensity of Hippocampus (left hemisphere) | Instance 2
p26577_i2	Mean intensity of Hippocampus (right hemisphere) | Instance 2
p26539_i2	Mean intensity of Inf-Lat-Vent (left hemisphere) | Instance 2
p26570_i2	Mean intensity of Inf-Lat-Vent (right hemisphere) | Instance 2
p26538_i2	Mean intensity of Lateral-Ventricle (left hemisphere) | Instance 2
p26569_i2	Mean intensity of Lateral-Ventricle (right hemisphere) | Instance 2
p26508_i2	Mean intensity of Optic-Chiasm (whole brain) | Instance 2
p26545_i2	Mean intensity of Pallidum (left hemisphere) | Instance 2
p26576_i2	Mean intensity of Pallidum (right hemisphere) | Instance 2
p26544_i2	Mean intensity of Putamen (left hemisphere) | Instance 2
p26575_i2	Mean intensity of Putamen (right hemisphere) | Instance 2
p26542_i2	Mean intensity of Thalamus-Proper (left hemisphere) | Instance 2
p26573_i2	Mean intensity of Thalamus-Proper (right hemisphere) | Instance 2
p26549_i2	Mean intensity of VentralDC (left hemisphere) | Instance 2
p26580_i2	Mean intensity of VentralDC (right hemisphere) | Instance 2
p26506_i2	Mean intensity of WM-hypointensities (whole brain) | Instance 2
p26551_i2	Mean intensity of choroid-plexus (left hemisphere) | Instance 2
p26582_i2	Mean intensity of choroid-plexus (right hemisphere) | Instance 2
p26507_i2	Mean intensity of non-WM-hypointensities (whole brain) | Instance 2
p26550_i2	Mean intensity of vessel (left hemisphere) | Instance 2
p26581_i2	Mean intensity of vessel (right hemisphere) | Instance 2
p26568_i2	Number of HolesBeforeFixing (left hemisphere) | Instance 2
p26599_i2	Number of HolesBeforeFixing (right hemisphere) | Instance 2
p26523_i2	Volume of 3rd-Ventricle (whole brain) | Instance 2
p26524_i2	Volume of 4th-Ventricle (whole brain) | Instance 2
p26525_i2	Volume of 5th-Ventricle (whole brain) | Instance 2
p26564_i2	Volume of Accumbens-area (left hemisphere) | Instance 2
p26595_i2	Volume of Accumbens-area (right hemisphere) | Instance 2
p26563_i2	Volume of Amygdala (left hemisphere) | Instance 2
p26594_i2	Volume of Amygdala (right hemisphere) | Instance 2
p26526_i2	Volume of Brain-Stem (whole brain) | Instance 2
p26514_i2	Volume of BrainSeg (whole brain) | Instance 2
p26515_i2	Volume of BrainSegNotVent (whole brain) | Instance 2
p26516_i2	Volume of BrainSegNotVentSurf (whole brain) | Instance 2
p26535_i2	Volume of CC-Anterior (whole brain) | Instance 2
p26533_i2	Volume of CC-Central (whole brain) | Instance 2
p26534_i2	Volume of CC-Mid-Anterior (whole brain) | Instance 2
p26532_i2	Volume of CC-Mid-Posterior (whole brain) | Instance 2
p26531_i2	Volume of CC-Posterior (whole brain) | Instance 2
p26527_i2	Volume of CSF (whole brain) | Instance 2
p26559_i2	Volume of Caudate (left hemisphere) | Instance 2
p26590_i2	Volume of Caudate (right hemisphere) | Instance 2
p26557_i2	Volume of Cerebellum-Cortex (left hemisphere) | Instance 2
p26588_i2	Volume of Cerebellum-Cortex (right hemisphere) | Instance 2
p26556_i2	Volume of Cerebellum-White-Matter (left hemisphere) | Instance 2
p26587_i2	Volume of Cerebellum-White-Matter (right hemisphere) | Instance 2
p26553_i2	Volume of CerebralWhiteMatter (left hemisphere) | Instance 2
p26584_i2	Volume of CerebralWhiteMatter (right hemisphere) | Instance 2
p26552_i2	Volume of Cortex (left hemisphere) | Instance 2
p26583_i2	Volume of Cortex (right hemisphere) | Instance 2
p26521_i2	Volume of EstimatedTotalIntraCranial (whole brain) | Instance 2
p26562_i2	Volume of Hippocampus (left hemisphere) | Instance 2
p26593_i2	Volume of Hippocampus (right hemisphere) | Instance 2
p26555_i2	Volume of Inf-Lat-Vent (left hemisphere) | Instance 2
p26586_i2	Volume of Inf-Lat-Vent (right hemisphere) | Instance 2
p26554_i2	Volume of Lateral-Ventricle (left hemisphere) | Instance 2
p26585_i2	Volume of Lateral-Ventricle (right hemisphere) | Instance 2
p26530_i2	Volume of Optic-Chiasm (whole brain) | Instance 2
p26561_i2	Volume of Pallidum (left hemisphere) | Instance 2
p26592_i2	Volume of Pallidum (right hemisphere) | Instance 2
p26560_i2	Volume of Putamen (left hemisphere) | Instance 2
p26591_i2	Volume of Putamen (right hemisphere) | Instance 2
p26517_i2	Volume of SubCortGray (whole brain) | Instance 2
p26519_i2	Volume of SupraTentorial (whole brain) | Instance 2
p26520_i2	Volume of SupraTentorialNotVent (whole brain) | Instance 2
p26558_i2	Volume of Thalamus-Proper (left hemisphere) | Instance 2
p26589_i2	Volume of Thalamus-Proper (right hemisphere) | Instance 2
p26518_i2	Volume of TotalGray (whole brain) | Instance 2
p26565_i2	Volume of VentralDC (left hemisphere) | Instance 2
p26596_i2	Volume of VentralDC (right hemisphere) | Instance 2
p26522_i2	Volume of VentricleChoroid (whole brain) | Instance 2
p26528_i2	Volume of WM-hypointensities (whole brain) | Instance 2
p26567_i2	Volume of choroid-plexus (left hemisphere) | Instance 2
p26598_i2	Volume of choroid-plexus (right hemisphere) | Instance 2
p26529_i2	Volume of non-WM-hypointensities (whole brain) | Instance 2
p26566_i2	Volume of vessel (left hemisphere) | Instance 2
p26597_i2	Volume of vessel (right hemisphere) | Instance 2
p26536_i2	Volume-ratio of BrainSegVol-to-eTIV (whole brain) | Instance 2
p26537_i2	Volume-ratio of MaskVol-to-eTIV (whole brain) | Instance 2
p27059_i2	Area of BA1 (left hemisphere) | Instance 2
p27101_i2	Area of BA1 (right hemisphere) | Instance 2
p27060_i2	Area of BA2 (left hemisphere) | Instance 2
p27102_i2	Area of BA2 (right hemisphere) | Instance 2
p27061_i2	Area of BA3a (left hemisphere) | Instance 2
p27103_i2	Area of BA3a (right hemisphere) | Instance 2
p27062_i2	Area of BA3b (left hemisphere) | Instance 2
p27104_i2	Area of BA3b (right hemisphere) | Instance 2
p27066_i2	Area of BA44 (left hemisphere) | Instance 2
p27108_i2	Area of BA44 (right hemisphere) | Instance 2
p27067_i2	Area of BA45 (left hemisphere) | Instance 2
p27109_i2	Area of BA45 (right hemisphere) | Instance 2
p27063_i2	Area of BA4a (left hemisphere) | Instance 2
p27105_i2	Area of BA4a (right hemisphere) | Instance 2
p27064_i2	Area of BA4p (left hemisphere) | Instance 2
p27106_i2	Area of BA4p (right hemisphere) | Instance 2
p27065_i2	Area of BA6 (left hemisphere) | Instance 2
p27107_i2	Area of BA6 (right hemisphere) | Instance 2
p27070_i2	Area of MT (left hemisphere) | Instance 2
p27112_i2	Area of MT (right hemisphere) | Instance 2
p27068_i2	Area of V1 (left hemisphere) | Instance 2
p27110_i2	Area of V1 (right hemisphere) | Instance 2
p27069_i2	Area of V2 (left hemisphere) | Instance 2
p27111_i2	Area of V2 (right hemisphere) | Instance 2
p27072_i2	Area of entorhinal (left hemisphere) | Instance 2
p27114_i2	Area of entorhinal (right hemisphere) | Instance 2
p27071_i2	Area of perirhinal (left hemisphere) | Instance 2
p27113_i2	Area of perirhinal (right hemisphere) | Instance 2
p27073_i2	Mean thickness of BA1 (left hemisphere) | Instance 2
p27115_i2	Mean thickness of BA1 (right hemisphere) | Instance 2
p27074_i2	Mean thickness of BA2 (left hemisphere) | Instance 2
p27116_i2	Mean thickness of BA2 (right hemisphere) | Instance 2
p27075_i2	Mean thickness of BA3a (left hemisphere) | Instance 2
p27117_i2	Mean thickness of BA3a (right hemisphere) | Instance 2
p27076_i2	Mean thickness of BA3b (left hemisphere) | Instance 2
p27118_i2	Mean thickness of BA3b (right hemisphere) | Instance 2
p27080_i2	Mean thickness of BA44 (left hemisphere) | Instance 2
p27122_i2	Mean thickness of BA44 (right hemisphere) | Instance 2
p27081_i2	Mean thickness of BA45 (left hemisphere) | Instance 2
p27123_i2	Mean thickness of BA45 (right hemisphere) | Instance 2
p27077_i2	Mean thickness of BA4a (left hemisphere) | Instance 2
p27119_i2	Mean thickness of BA4a (right hemisphere) | Instance 2
p27078_i2	Mean thickness of BA4p (left hemisphere) | Instance 2
p27120_i2	Mean thickness of BA4p (right hemisphere) | Instance 2
p27079_i2	Mean thickness of BA6 (left hemisphere) | Instance 2
p27121_i2	Mean thickness of BA6 (right hemisphere) | Instance 2
p27084_i2	Mean thickness of MT (left hemisphere) | Instance 2
p27126_i2	Mean thickness of MT (right hemisphere) | Instance 2
p27082_i2	Mean thickness of V1 (left hemisphere) | Instance 2
p27124_i2	Mean thickness of V1 (right hemisphere) | Instance 2
p27083_i2	Mean thickness of V2 (left hemisphere) | Instance 2
p27125_i2	Mean thickness of V2 (right hemisphere) | Instance 2
p27086_i2	Mean thickness of entorhinal (left hemisphere) | Instance 2
p27128_i2	Mean thickness of entorhinal (right hemisphere) | Instance 2
p27085_i2	Mean thickness of perirhinal (left hemisphere) | Instance 2
p27127_i2	Mean thickness of perirhinal (right hemisphere) | Instance 2
p27087_i2	Volume of BA1 (left hemisphere) | Instance 2
p27129_i2	Volume of BA1 (right hemisphere) | Instance 2
p27088_i2	Volume of BA2 (left hemisphere) | Instance 2
p27130_i2	Volume of BA2 (right hemisphere) | Instance 2
p27089_i2	Volume of BA3a (left hemisphere) | Instance 2
p27131_i2	Volume of BA3a (right hemisphere) | Instance 2
p27090_i2	Volume of BA3b (left hemisphere) | Instance 2
p27132_i2	Volume of BA3b (right hemisphere) | Instance 2
p27094_i2	Volume of BA44 (left hemisphere) | Instance 2
p27136_i2	Volume of BA44 (right hemisphere) | Instance 2
p27095_i2	Volume of BA45 (left hemisphere) | Instance 2
p27137_i2	Volume of BA45 (right hemisphere) | Instance 2
p27091_i2	Volume of BA4a (left hemisphere) | Instance 2
p27133_i2	Volume of BA4a (right hemisphere) | Instance 2
p27092_i2	Volume of BA4p (left hemisphere) | Instance 2
p27134_i2	Volume of BA4p (right hemisphere) | Instance 2
p27093_i2	Volume of BA6 (left hemisphere) | Instance 2
p27135_i2	Volume of BA6 (right hemisphere) | Instance 2
p27098_i2	Volume of MT (left hemisphere) | Instance 2
p27140_i2	Volume of MT (right hemisphere) | Instance 2
p27096_i2	Volume of V1 (left hemisphere) | Instance 2
p27138_i2	Volume of V1 (right hemisphere) | Instance 2
p27097_i2	Volume of V2 (left hemisphere) | Instance 2
p27139_i2	Volume of V2 (right hemisphere) | Instance 2
p27100_i2	Volume of entorhinal (left hemisphere) | Instance 2
p27142_i2	Volume of entorhinal (right hemisphere) | Instance 2
p27099_i2	Volume of perirhinal (left hemisphere) | Instance 2
p27141_i2	Volume of perirhinal (right hemisphere) | Instance 2
p27334_i2	Area of G+S-cingul-Ant (left hemisphere) | Instance 2
p27556_i2	Area of G+S-cingul-Ant (right hemisphere) | Instance 2
p27335_i2	Area of G+S-cingul-Mid-Ant (left hemisphere) | Instance 2
p27557_i2	Area of G+S-cingul-Mid-Ant (right hemisphere) | Instance 2
p27336_i2	Area of G+S-cingul-Mid-Post (left hemisphere) | Instance 2
p27558_i2	Area of G+S-cingul-Mid-Post (right hemisphere) | Instance 2
p27329_i2	Area of G+S-frontomargin (left hemisphere) | Instance 2
p27551_i2	Area of G+S-frontomargin (right hemisphere) | Instance 2
p27330_i2	Area of G+S-occipital-inf (left hemisphere) | Instance 2
p27552_i2	Area of G+S-occipital-inf (right hemisphere) | Instance 2
p27331_i2	Area of G+S-paracentral (left hemisphere) | Instance 2
p27553_i2	Area of G+S-paracentral (right hemisphere) | Instance 2
p27332_i2	Area of G+S-subcentral (left hemisphere) | Instance 2
p27554_i2	Area of G+S-subcentral (right hemisphere) | Instance 2
p27333_i2	Area of G+S-transv-frontopol (left hemisphere) | Instance 2
p27555_i2	Area of G+S-transv-frontopol (right hemisphere) | Instance 2
p27345_i2	Area of G-Ins-lg+S-cent-ins (left hemisphere) | Instance 2
p27567_i2	Area of G-Ins-lg+S-cent-ins (right hemisphere) | Instance 2
p27337_i2	Area of G-cingul-Post-dorsal (left hemisphere) | Instance 2
p27559_i2	Area of G-cingul-Post-dorsal (right hemisphere) | Instance 2
p27338_i2	Area of G-cingul-Post-ventral (left hemisphere) | Instance 2
p27560_i2	Area of G-cingul-Post-ventral (right hemisphere) | Instance 2
p27339_i2	Area of G-cuneus (left hemisphere) | Instance 2
p27561_i2	Area of G-cuneus (right hemisphere) | Instance 2
p27340_i2	Area of G-front-inf-Opercular (left hemisphere) | Instance 2
p27562_i2	Area of G-front-inf-Opercular (right hemisphere) | Instance 2
p27341_i2	Area of G-front-inf-Orbital (left hemisphere) | Instance 2
p27563_i2	Area of G-front-inf-Orbital (right hemisphere) | Instance 2
p27342_i2	Area of G-front-inf-Triangul (left hemisphere) | Instance 2
p27564_i2	Area of G-front-inf-Triangul (right hemisphere) | Instance 2
p27343_i2	Area of G-front-middle (left hemisphere) | Instance 2
p27565_i2	Area of G-front-middle (right hemisphere) | Instance 2
p27344_i2	Area of G-front-sup (left hemisphere) | Instance 2
p27566_i2	Area of G-front-sup (right hemisphere) | Instance 2
p27346_i2	Area of G-insular-short (left hemisphere) | Instance 2
p27568_i2	Area of G-insular-short (right hemisphere) | Instance 2
p27349_i2	Area of G-oc-temp-lat-fusifor (left hemisphere) | Instance 2
p27571_i2	Area of G-oc-temp-lat-fusifor (right hemisphere) | Instance 2
p27350_i2	Area of G-oc-temp-med-Lingual (left hemisphere) | Instance 2
p27572_i2	Area of G-oc-temp-med-Lingual (right hemisphere) | Instance 2
p27351_i2	Area of G-oc-temp-med-Parahip (left hemisphere) | Instance 2
p27573_i2	Area of G-oc-temp-med-Parahip (right hemisphere) | Instance 2
p27347_i2	Area of G-occipital-middle (left hemisphere) | Instance 2
p27569_i2	Area of G-occipital-middle (right hemisphere) | Instance 2
p27348_i2	Area of G-occipital-sup (left hemisphere) | Instance 2
p27570_i2	Area of G-occipital-sup (right hemisphere) | Instance 2
p27352_i2	Area of G-orbital (left hemisphere) | Instance 2
p27574_i2	Area of G-orbital (right hemisphere) | Instance 2
p27353_i2	Area of G-pariet-inf-Angular (left hemisphere) | Instance 2
p27575_i2	Area of G-pariet-inf-Angular (right hemisphere) | Instance 2
p27354_i2	Area of G-pariet-inf-Supramar (left hemisphere) | Instance 2
p27576_i2	Area of G-pariet-inf-Supramar (right hemisphere) | Instance 2
p27355_i2	Area of G-parietal-sup (left hemisphere) | Instance 2
p27577_i2	Area of G-parietal-sup (right hemisphere) | Instance 2
p27356_i2	Area of G-postcentral (left hemisphere) | Instance 2
p27578_i2	Area of G-postcentral (right hemisphere) | Instance 2
p27357_i2	Area of G-precentral (left hemisphere) | Instance 2
p27579_i2	Area of G-precentral (right hemisphere) | Instance 2
p27358_i2	Area of G-precuneus (left hemisphere) | Instance 2
p27580_i2	Area of G-precuneus (right hemisphere) | Instance 2
p27359_i2	Area of G-rectus (left hemisphere) | Instance 2
p27581_i2	Area of G-rectus (right hemisphere) | Instance 2
p27360_i2	Area of G-subcallosal (left hemisphere) | Instance 2
p27582_i2	Area of G-subcallosal (right hemisphere) | Instance 2
p27361_i2	Area of G-temp-sup-G-T-transv (left hemisphere) | Instance 2
p27583_i2	Area of G-temp-sup-G-T-transv (right hemisphere) | Instance 2
p27362_i2	Area of G-temp-sup-Lateral (left hemisphere) | Instance 2
p27584_i2	Area of G-temp-sup-Lateral (right hemisphere) | Instance 2
